sec name,subject,course,sec #,title,Unnamed: 5,acad Level,min Credit,Unnamed: 8,max Credit,sec Mthd,Unnamed: 11,# wks,sec Start,Unnamed: 14,sec End,sec Cap,# stud,Unnamed: 18,x Listed,sec Stat,bldg,room,teach Mthd,week Days,CSMDate start,CSMDate end,CSM start,CSM end,faculty1,Restrictions,Blocked Time Slots,Hold
CHEM-101-001,,,,Introduction to Chemistry,,,4,,,CAMP,,16,8/28/23,,12/15/23,24,,,,,RCE,201,LECT,M W F ,,,8/28/23,12/8/23,"Konkel, Michael J",,,
CHEM-101-001,,,,Introduction to Chemistry,,,4,,,CAMP,,16,8/28/23,,12/15/23,24,,,,,RCE,301,LABR,M ,,,8/28/23,12/8/23,"Konkel, Michael J",,,
CHEM-106-001,,,,Chmstry for Hlth Scnces,,,4,,,CAMP,,16,8/28/23,,12/15/23,22,,,,,RCE,201,LECT,M W F ,,,8/28/23,12/8/23,"Backstrand, Kyle M",,,
CHEM-106-001,,,,Chmstry for Hlth Scnces,,,4,,,CAMP,,16,8/28/23,,12/15/23,22,,,,,RCE,301,LECT,Th ,,,8/28/23,12/8/23,"Backstrand, Kyle M",,,
CHEM-106-002,,,,Chmstry for Hlth Scnces,,,4,,,CAMP,,16,8/28/23,,12/15/23,22,,,,,RCE,201,LECT,M W F ,,,8/28/23,12/8/23,"Backstrand, Kyle M",,,
CHEM-106-002,,,,Chmstry for Hlth Scnces,,,4,,,CAMP,,16,8/28/23,,12/15/23,22,,,,,RCE,301,LECT,Th ,,,8/28/23,12/8/23,"Backstrand, Kyle M",,,
CHEM-112-001,,,,Science Success,,,1,,,CAMP,,16,8/28/23,,12/15/23,30,,,BIOL-112,,RCE,134,LECT,Tu ,,,8/28/23,12/8/23,"Gabriel, Scott E",,,
CHEM-120-001,,,,General Chemistry I,,,4,,,CAMP,,16,8/28/23,,12/15/23,24,,,,,RCE,134,LECT,M W F ,,,8/28/23,12/8/23,"Gabriel, Scott E",,,
CHEM-120-001,,,,General Chemistry I,,,4,,,CAMP,,16,8/28/23,,12/15/23,24,,,,,RCE,301,LABR,Tu ,,,8/28/23,12/8/23,"Gabriel, Scott E",,,
CHEM-120-002,,,,General Chemistry I,,,4,,,CAMP,,16,8/28/23,,12/15/23,24,,,,,RCE,134,LECT,M W F ,,,8/28/23,12/8/23,"Gabriel, Scott E",,,
